744360353,巴西 - 甲级联赛,2017-07-21 06:30,弗鲁米嫩塞 RJ vs 克鲁塞罗 MG,,,,,(184130)-(265510)=-81380,(52000)-(2747)=49253,20642,0,(0)-(9400)=-9400,(8152)-(3500)=4652,-21948,0,,,,,,,-
744360351,巴西 - 甲级联赛,2017-07-21 08:00,巴拉纳竞技 vs 博塔弗戈 RJ,,,,,(96262)-(255834)=-159572,(103500)-(49620)=53880,16078,0,(26107)-(0)=26107,(48234)-(84974)=-36740,20794,0,,,,,,,-
744358221,中北美及加勒比海地区足联 - 金杯赛,2017-07-21 10:30,墨西哥 vs 洪都拉斯,,,,,(339698)-(371843)=-32145,(339274)-(0)=339274,-655113,0,(4425)-(148579)=-144154,(34400)-(57300)=-22900,753,0,,,,,,,-
744624345,瑞士 - 挑战联赛,2017-07-22 02:00,纳沙泰尔 vs 阿劳,,,,,(21344)-(5500)=15844,(21248)-(40203)=-18955,13490,0,(4391)-(8586)=-4195,(27926)-(17128)=10798,-13036,0,,,,,,,-
744368318,爱尔兰 - 甲级联赛,2017-07-22 02:45,沃特福德联  vs 科布漫步者,,,,,(233684)-(91104)=142580,(60967)-(88907)=-27940,-13426,0,0,(43230)-(3326)=39904,-3850,0,,,,,,,-
744368320,爱尔兰 - 甲级联赛,2017-07-22 03:00,韦克斯福德青年 vs 朗福特城,,,,,(10500)-(19500)=-9000,(89360)-(8129)=81231,25065,0,(3576)-(1492)=2084,(24353)-(12714)=11639,0,0,,,,,,,-
744366713,巴西 - 乙级联赛,2017-07-22 06:15,米内罗美洲 vs 费古埃伦斯,,,,,(17032)-(16594)=438,(47683)-(59901)=-12218,-12622,0,(0)-(36006)=-36006,(16735)-(11212)=5523,40049,0,,,,,,,-
744927895,厄瓜多尔 - 甲级联赛,2017-07-22 08:30,基多大学 vs 库恩卡,,,,,(3635)-(0)=3635,(0)-(19751)=-19751,20409,0,0,(0)-(5700)=-5700,10000,0,,,,,,,-
744366735,巴西 - 乙级联赛,2017-07-22 08:30,塞阿拉 vs 戈伊亚斯,,,,,(69459)-(25378)=44081,(50650)-(4190)=46460,125333,0,(28823)-(788)=28035,(63018)-(30248)=32770,-39174,0,,,,,,,-
745454567,俱乐部友谊赛,2017-07-22 17:00,鹿岛鹿角 vs 塞维利亚,,,,,(0)-(9074)=-9074,(1300)-(7823)=-6523,143227,0,0,(0)-(5393)=-5393,-115235,0,,,,,,,-
744853920,日职乙,2017-07-22 17:00,山形山神 vs 湘南比马,受平/半,0.82|1.08,2,0.93|0.95,(116800)-(86844)=29956,(154583)-(83088)=71495,22030,0,(1500)-(6000)=-4500,(105818)-(21950)=83868,-274823,0,平手,1.38|0.60,3.5,3.57|0.16,89',,3:0
744853935,日职乙,2017-07-22 17:00,松本山雅 vs 爱媛,半/一,0.95|0.95,2/2.5,0.85|1.03,(66070)-(98730)=-32660,(98130)-(170839)=-72709,176725,0,(0)-(2062)=-2062,(95011)-(59753)=35258,0,0,平手,0.72|1.19,3.5,3.33|0.18,89',,2:1
744853923,日职乙,2017-07-22 17:00,岐阜 vs 町田泽维亚,平/半,0.97|0.93,2.5,0.91|0.97,(112430)-(118865)=-6435,(71203)-(55766)=15437,124776,0,(0)-(7670)=-7670,(129326)-(22500)=106826,18798,0,平手,0.61|1.36,2.5,2.85|0.23,89',,0:2
744853927,日职乙,2017-07-22 17:00,千叶市原 vs 金泽萨维根,一球,1.08|0.82,2.5/3,0.78|1.11,(230573)-(47939)=182634,(8841)-(53249)=-44408,1082313,0,(69108)-(7598)=61510,(65969)-(59065)=6904,172521,0,平手,0.58|1.42,2.5,2.85|0.23,89',,2:0
744853931,日职乙,2017-07-22 17:00,京都不死鸟 vs 名古屋八鲸,平/半,1.05|0.85,2.5,0.85|1.03,(130558)-(106155)=24403,(96992)-(217873)=-120881,-197762,0,(0)-(32042)=-32042,(35216)-(28705)=6511,-17700,0,平手,0.96|0.92,4.5,3.22|0.19,89',,3:1
744853938,日职乙,2017-07-22 17:30,东京绿茵 vs 赞岐乌冬,半/一,0.83|1.07,2.5,0.98|0.90,(20000)-(91224)=-71224,(37538)-(2127)=35411,453720,0,(2012)-(0)=2012,(152444)-(18956)=133488,46000,0,平手,0.45|1.75,6.5,3.22|0.19,89',,3:3
744853857,国际- 冠軍盃,2017-07-22 17:35,拜仁慕尼黑 vs AC 米兰,,,,,(162731)-(372911)=-210180,(162731)-(372911)=-210180,-741097,0,(191026)-(11150)=179876,(191026)-(11150)=179876,651711,0,,,,,,,-
744853945,日职乙,2017-07-22 18:00,群马草津温泉 vs 熊本罗亚素,平手,0.96|0.94,2/2.5,0.86|1.02,(12556)-(53087)=-40531,(5752)-(106952)=-101200,-198689,0,0,(15687)-(40813)=-25126,-173230,0,平手,0.79|1.09,2.5,2.85|0.23,89',,1:1
1,韩K联,2017-07-22 18:00,蔚山现代  vs 仁川联,半/一,0.93|0.97,2/2.5,0.83|1.04,(69922)-(61750)=8172,0,3180,0,(20123)-(0)=20123,0,0,0,平手,0.49|1.63,2.5,4.00|0.13,89',,1:1
744853794,韩K联,2017-07-22 18:00,光州 vs 全南天龙,平/半,0.97|0.93,2.5,0.87|1.00,(81787)-(23700)=58087,(91141)-(18694)=72447,10361,0,(64825)-(0)=64825,(40678)-(16382)=24296,1257,0,平手,0.30|2.38,3.5,2.63|0.26,89',,2:1
744853788,日职联,2017-07-22 18:00,大阪樱花 vs 浦和红钻  ,受平/半,0.96|0.94,2.5/3,0.85|1.03,(250278)-(254362)=-4084,(105715)-(693962)=-588247,290420,0,(1956)-(6114)=-4158,(188550)-(185831)=2719,22016,0,平手,1.17|0.73,6.5,2.94|0.22,89',,4:2
742799249,德国 - 巴伐利亚地区杯,2017-07-22 20:00,罗森海姆 1860 vs 纽伦堡 II,,,,,(3620)-(4745)=-1125,0,662,0,(0)-(11523)=-11523,0,-14092,0,,,,,,,-
744635827,德国 - 德丙,2017-07-22 20:00,云达不莱梅 II vs 翁特哈兴,,,,,0,(41115)-(1500)=39615,-34053,0,(0)-(3576)=-3576,(7755)-(2850)=4905,-8900,0,,,,,,,-
744635767,芬兰 - 全国联赛,2017-07-22 21:00,马利汉姆 vs HIFK 赫尔辛基,,,,,(84728)-(120797)=-36069,(316167)-(62950)=253217,-652669,0,(4000)-(19108)=-15108,(309043)-(10807)=298236,-34291,0,,,,,,,-
744854082,苏格兰联赛杯,2017-07-22 22:00,利文斯顿  vs 艾尔德里 FC,,,,,(0)-(350)=-350,(0)-(350)=-350,80,0,(10276)-(0)=10276,(10276)-(0)=10276,0,0,,,,,,,-
744854110,芬兰甲级联赛,2017-07-22 22:00,查路 vs TPS 图尔库,,,,,(0)-(15718)=-15718,(44423)-(94070)=-49647,-629,0,0,(15500)-(48748)=-33248,0,0,,,,,,,-
740852235,瑞典 - 甲级联赛,2017-07-22 22:00,迪加佛斯 vs 特雷勒堡,,,,,(33000)-(70155)=-37155,0,-175079,0,(25549)-(1500)=24049,0,-271949,0,,,,,,,-
744635777,瑞典超,2017-07-22 22:00,哈尔姆斯达斯 vs GIF 松兹瓦尔,半球,0.96|0.94,2.5,1.09|0.79,(136676)-(92878)=43798,(114800)-(352213)=-237413,123030,0,(12000)-(40000)=-28000,(90305)-(230822)=-140517,-49997,0,平手,1.14|0.75,4.5,5.26|0.07,90'+,,2:2
1,芬甲,2017-07-22 22:00,OPS 奥鲁 vs 哈卡,受平/半,0.78|1.13,2.5/3,0.83|1.04,(64187)-(55161)=9026,0,-54285,0,(50682)-(45602)=5080,0,28735,0,平手,1.28|0.66,6.5,3.12|0.20,90'+,,3:3
744635796,瑞典甲,2017-07-22 22:00,诺尔比 vs 法肯柏尔,平/半,0.86|1.04,3,0.92|0.94,(145052)-(3447)=141605,(102110)-(98270)=3840,149456,0,(20878)-(2500)=18378,(80267)-(48434)=31833,-85223,0,平手,1.53|0.53,2.5,2.50|0.28,90'+,,0:3
744636126,丹麦超,2017-07-22 22:00,兰德斯 vs FC 哥本哈根,受平/半,0.95|0.95,2/2.5,1.08|0.80,(291230)-(59688)=231542,(419627)-(263985)=155642,329424,0,0,(125668)-(140274)=-14606,-647569,0,平手,0.92|0.96,2.5,5.55|0.06,90',,0:2
744635768,芬超,2017-07-22 22:00,古比斯 vs FC 拉赫蒂,半球,0.98|0.92,2/2.5,0.91|0.97,(90422)-(116505)=-26083,(432322)-(2483)=429839,-236974,0,(34440)-(0)=34440,(127127)-(114417)=12710,-188962,0,平手,0.61|1.36,4.5,4.16|0.12,90',,2:2
744635775,瑞典超,2017-07-22 22:00,马尔默 FF vs 乔科品斯,球半,1.16|0.76,2.5/3,0.93|0.95,(62120)-(194444)=-132324,(583755)-(457951)=125804,-149342,0,(19373)-(98438)=-79065,(160438)-(49999)=110439,101754,0,平手,0.22|2.94,2.5,4.76|0.09,90'+,,2:0
744635801,瑞典甲,2017-07-23 00:00,赫尔辛堡 vs 奥尔格里特,一球,0.84|1.06,2.5/3,0.91|0.95,(167117)-(224795)=-57678,(187064)-(213069)=-26005,-138651,0,(0)-(58991)=-58991,(34325)-(12757)=21568,-146391,0,平手,0.53|1.53,1.5,5.00|0.08,90'+,,1:0
744635781,瑞士超级联赛,2017-07-23 01:00,年青人 vs 巴塞尔,,,,,(138654)-(57068)=81586,(157801)-(99615)=58186,-21464,0,(121940)-(27622)=94318,(9862)-(14299)=-4437,48154,0,,,,,,,-
744854263,巴西 - 乙级联赛,2017-07-23 03:30,克里西乌马 vs ABC 纳塔尔,,,,,(51961)-(21708)=30253,(17114)-(28056)=-10942,-21201,0,(0)-(45600)=-45600,(8169)-(0)=8169,0,0,,,,,,,-
745703193,国际- 冠軍盃,2017-07-23 06:00,尤文图斯 vs 巴塞罗那,,,,,(92749)-(180050)=-87301,(399949)-(116695)=283254,-925966,0,(10000)-(167872)=-157872,(40811)-(0)=40811,62756,0,,,,,,,-
745682031,阿根廷 - 乙级联赛,2017-07-23 06:00,坦迪尔 vs 维拉多尔米尼,,,,,(3400)-(0)=3400,(3400)-(0)=3400,40,0,(3750)-(0)=3750,(3750)-(0)=3750,0,0,,,,,,,-
744853798,美国 - 美国大联盟,2017-07-23 07:00,多伦多FC vs 科罗拉多急流,,,,,(150452)-(209661)=-59209,(372645)-(146028)=226617,283613,0,(0)-(11651)=-11651,(101621)-(1400)=100221,32685,0,,,,,,,-
738832952,美国 - 美国大联盟,2017-07-23 07:30,哥伦布机员 vs 费城联,,,,,(467445)-(109283)=358162,0,335478,0,(45100)-(169856)=-124756,0,64269,0,,,,,,,-
744853800,美国 - 美国大联盟,2017-07-23 07:30,蒙特利尔冲击 vs FC 达拉斯,,,,,(45347)-(95808)=-50461,(563601)-(356331)=207270,-304438,0,(15127)-(0)=15127,(83256)-(486)=82770,73182,0,,,,,,,-
742283113,美国 - 美国大联盟,2017-07-23 10:00,皇家盐湖城 vs 堪萨斯城竞技,,,,,(33745)-(2282)=31463,0,-103641,0,(0)-(26913)=-26913,0,0,0,,,,,,,-
744972635,中北美及加勒比海地区足联 - 金杯赛,2017-07-23 10:00,美国 vs 哥斯达黎加,,,,,(256860)-(174949)=81911,0,9910,0,0,0,-30000,0,,,,,,,-
1,韩K联,2017-07-23 17:00,水原三星  vs 尚州尚武,一球,0.95|0.95,2.5/3,0.94|0.93,(34304)-(48037)=-13733,0,-88651,0,(45841)-(39082)=6759,0,-51403,0,平手,0.65|1.29,2.5,3.03|0.21,89',,3:0
744906631,日职乙,2017-07-23 17:00,冈山绿雉 vs 雷法山口,平/半,1.00|0.90,2/2.5,0.92|0.96,(108828)-(62500)=46328,(243704)-(114302)=129402,92264,0,(0)-(7246)=-7246,(28521)-(25881)=2640,-33003,0,平手,0.81|1.07,2.5,3.33|0.18,89',,2:0
744906634,日职乙,2017-07-23 17:00,福冈黄蜂   vs 德岛漩涡,平/半,0.81|1.09,2.5,0.96|0.92,(12946)-(203590)=-190644,(130296)-(60938)=69358,243445,0,(18536)-(0)=18536,(145254)-(17737)=127517,-234070,0,平手,0.74|1.16,1.5,3.44|0.17,89',,0:1
745773764,韩K联,2017-07-23 18:00,江原 vs 大邱,半球,1.08|0.82,2/2.5,0.82|1.05,(21510)-(557)=20953,(124326)-(13491)=110835,-7645,0,(12330)-(27298)=-14968,(53679)-(6069)=47610,-33337,0,平/半,2.17|0.34,1.5,2.56|0.27,89',,0:1
745773789,韩K联,2017-07-23 18:00,巴厘联普萨 vs 马卡萨,平手,1.06|0.84,2.5/3,0.96|0.91,(21800)-(23126)=-1326,(85014)-(73202)=11812,1060,0,(32486)-(120112)=-87626,(31200)-(4050)=27150,0,0,平手,1.99|0.38,2.5,2.70|0.25,89',,0:2
744906638,中国- 超级联赛,2017-07-23 19:35,上海申花 vs 北京国安 ,,,,,(10000)-(2132)=7868,(122582)-(53673)=68909,-32818,0,(15244)-(0)=15244,(17074)-(59120)=-42046,14333,0,,,,,,,-
744906640,中超,2017-07-23 19:35,广州富力 vs 延边,球半/两,0.72|1.16,3.5,0.87|0.97,(129249)-(24208)=105041,(148098)-(303055)=-154957,463990,0,(89247)-(12471)=76776,(128350)-(97564)=30786,1006,0,平手,0.18|3.12,8.5,2.43|0.25,89',,6:2
744906643,中超,2017-07-23 19:35,河南建业 vs 天津权健,平手,1.09|0.77,2/2.5,0.78|1.06,(27096)-(70095)=-42999,(14700)-(101664)=-86964,239516,0,0,(33400)-(2022)=31378,4500,0,平手,0.32|2.17,2.5,2.70|0.21,89',,1:1
744906561,俄超,2017-07-23 20:00,乌法  vs 莫斯科斯巴达,受半球,0.92|0.98,2/2.5,1.05|0.82,(364714)-(27403)=337311,(39334)-(157586)=-118252,36117,0,(147210)-(2777)=144433,(34375)-(63548)=-29173,-40078,0,平手,2.08|0.36,0.5,4.00|0.13,89',,0:0
744905473,瑞典超,2017-07-23 21:00,于戈尔登 vs 奧斯特桑斯,半球,0.87|1.03,2.5,0.97|0.91,(249188)-(267808)=-18620,(218179)-(297199)=-79020,-72096,0,(895)-(69604)=-68709,(159332)-(382306)=-222974,-441348,0,平手,0.74|1.16,3.5,4.16|0.12,89',,3:0
744905851,波兰超,2017-07-23 21:30,华沙普洛克 vs 莱克普斯纳 ,受平/半,1.07|0.83,2/2.5,0.86|1.00,(235715)-(104140)=131575,(9950)-(55786)=-45836,20637,0,(5500)-(11600)=-6100,(41548)-(21224)=20324,-6300,0,平手,0.62|1.35,1.5,3.22|0.19,89',,1:0
745776587,芬甲,2017-07-23 22:00,KPV 科科拉 vs AC 奥卢,半/一,0.94|0.96,2.5/3,0.80|1.07,(40903)-(32280)=8623,(77925)-(68080)=9845,-46632,0,(0)-(4600)=-4600,(26162)-(29359)=-3197,-22812,0,平手,0.45|1.75,1.5,2.94|0.22,89',,0:1
744906158,瑞士超,2017-07-23 22:00,苏黎世草蜢 vs 苏黎世,受半球,1.01|0.89,2.5/3,0.88|0.99,(157349)-(308074)=-150725,(298475)-(151619)=146856,-344485,0,(97142)-(174207)=-77065,(172026)-(62977)=109049,-751211,0,平手,1.75|0.45,2.5,3.12|0.20,89',,0:2
744906039,瑞士超,2017-07-23 22:00,卢森 vs 卢加诺,半球,1.03|0.87,2.5/3,0.88|0.99,(81592)-(137674)=-56082,(53907)-(205810)=-151903,-61445,0,(32090)-(11000)=21090,(90613)-(14805)=75808,-72231,0,平手,0.54|1.51,1.5,3.57|0.16,89',,1:0
