1,丹麦甲级联赛,2017-03-12 20:45,比利希尔星格 vs 尼克宾,6421,0,0,0
1,丹麦甲级联赛,2017-03-12 20:45,斯基夫 vs AB 哥本哈根,-45700,1837,0,0
1,丹麦甲级联赛,2017-03-12 20:45,BK 阿玛盖尔 vs FC 弗雷德里西亚,0,-21830,0,0
1,丹麦甲级联赛,2017-03-12 20:45,洛斯基尔德 vs 奈斯特维德 BK,3800,-5400,0,0
1,丹麦甲级联赛,2017-03-12 20:45,瓦伊勒 vs 侯布洛 ,-4200,0,0,0
1,保加利亚甲级联赛,2017-03-12 21:00,贝尔罗 vs 索菲亚列夫斯基  ,-10812,-5149,0,0
1,德国北部联赛 ,2017-03-12 21:00,希尔德斯海姆 06 vs 汉堡 II,-36090,6644,-3624,0
1,土耳其超级联赛,2017-03-12 21:00,科尼亚 vs 巴萨希尔,-3850,-2000,2300,0
1,希腊超级联赛,2017-03-12 21:00,克基拉 vs 克桑西竞技,-4000,-6000,0,0
1,德国北部联赛 ,2017-03-12 21:00,弗伦斯堡 vs 汉诺威 96 II,0,-2600,0,0
1,俄罗斯甲级联赛,2017-03-12 21:00,希姆基 vs 沃罗涅日火炬,1000,0,0,0
1,德国西南部联赛,2017-03-12 21:00,科布伦茨 vs 瓦德霍夫曼海姆,-93,0,100,0
1,荷兰甲级联赛,2017-03-12 21:30,费耶诺德 vs 艾克马亚,36281,-64050,0,0
1,比利时甲级联赛 ,2017-03-12 21:30,洛克伦 vs 皇家沙勒罗瓦,-16534,-47000,0,0
1,比利时甲级联赛 ,2017-03-12 21:30,科特赖克 vs 莫斯克伦佩吕韦尔兹,36901,-46042,0,0
1,比利时甲级联赛 ,2017-03-12 21:30,韦斯特鲁 vs 亨克,14096,6100,15398,0
1,比利时甲级联赛 ,2017-03-12 21:30,欧本 vs 祖尔特瓦雷根,-25953,-200,0,0
1,比利时甲级联赛 ,2017-03-12 21:30,布鲁日 vs 圣图尔登,51593,13133,150,1000
