744353372,美国 - 美国大联盟,2017-07-20 08:00,明尼苏达联队 vs 休斯敦迪纳摩,,(130753)-(218084)=-87331,(251737)-(319124)=-67387,373361,0,0,,(3506)-(583)=2923,(47120)-(23400)=23720,-173342,0,0,null,null,-
744357964,巴西 - 甲级联赛,2017-07-20 08:45,圣保罗 vs 瓦斯科达伽马 RJ,,(358896)-(100001)=258895,(208280)-(346408)=-138128,334902,0,0,,(21000)-(3000)=18000,(32947)-(41648)=-8701,-32,0,0,null,null,-
737303386,美国 - 美国大联盟,2017-07-20 10:30,洛杉矶银河 vs 温哥华白帽,,(131658)-(331750)=-200092,0,47833,0,0,,(22703)-(51211)=-28508,0,-63450,0,(-28508)+(-63450)=-91958,null,null,-
741386170,美国 - 美国大联盟,2017-07-20 10:30,波特兰伐木者 vs 皇家盐湖城,,(57065)-(97538)=-40473,0,-159508,0,(-40473)+(-159508)=-199981,,(0)-(73860)=-73860,0,4604,0,0,null,null,-
744359258,欧足联 - 欧罗巴联赛预选赛,2017-07-21 01:30,加拉塔萨雷 vs 奧斯特桑斯,,(0)-(11200)=-11200,(1000)-(165620)=-164620,-163,0,(-11200)+(-164620)+(-163)=-175983,,(0)-(27560)=-27560,(76849)-(51046)=25803,-112660,0,0,null,null,-
744360773,冰岛 - 甲级联赛,2017-07-21 03:15,荷卡 vs 弗雷姆雷克雅未克,,(8000)-(0)=8000,(47501)-(59165)=-11664,-24520,0,0,,(1110)-(0)=1110,(39165)-(15396)=23769,-12505,0,0,null,null,-
744360353,巴西 - 甲级联赛,2017-07-21 06:30,弗鲁米嫩塞 RJ vs 克鲁塞罗 MG,,(184130)-(265510)=-81380,(52000)-(2747)=49253,20642,0,0,,(0)-(9400)=-9400,(8152)-(3500)=4652,-21948,0,0,null,null,-
744360351,巴西 - 甲级联赛,2017-07-21 08:00,巴拉纳竞技 vs 博塔弗戈 RJ,,(96262)-(255834)=-159572,(103500)-(49620)=53880,16078,0,0,,(26107)-(0)=26107,(48234)-(84974)=-36740,20794,0,0,null,null,-
744358221,中北美及加勒比海地区足联 - 金杯赛,2017-07-21 10:30,墨西哥 vs 洪都拉斯,,(339698)-(371843)=-32145,(339274)-(0)=339274,-655113,0,0,,(4425)-(148579)=-144154,(34400)-(57300)=-22900,753,0,0,null,null,-
744624345,瑞士 - 挑战联赛,2017-07-22 02:00,纳沙泰尔 vs 阿劳,,(21344)-(5500)=15844,(21248)-(40203)=-18955,13490,0,0,,(4391)-(8586)=-4195,(27926)-(17128)=10798,-13036,0,0,null,null,-
744368318,爱尔兰 - 甲级联赛,2017-07-22 02:45,沃特福德联  vs 科布漫步者,,(233684)-(91104)=142580,(60967)-(88907)=-27940,-13426,0,0,,0,(43230)-(3326)=39904,-3850,0,0,null,null,-
744368320,爱尔兰 - 甲级联赛,2017-07-22 03:00,韦克斯福德青年 vs 朗福特城,,(10500)-(19500)=-9000,(89360)-(8129)=81231,25065,0,0,,(3576)-(1492)=2084,(24353)-(12714)=11639,0,0,0,null,null,-
744366713,巴西 - 乙级联赛,2017-07-22 06:15,米内罗美洲 vs 费古埃伦斯,,(17032)-(16594)=438,(47683)-(59901)=-12218,-12622,0,0,,(0)-(36006)=-36006,(16735)-(11212)=5523,40049,0,0,null,null,-
744927895,厄瓜多尔 - 甲级联赛,2017-07-22 08:30,基多大学 vs 库恩卡,,(3635)-(0)=3635,(0)-(19751)=-19751,20409,0,0,,0,(0)-(5700)=-5700,10000,0,0,null,null,-
744366735,巴西 - 乙级联赛,2017-07-22 08:30,塞阿拉 vs 戈伊亚斯,,(69459)-(25378)=44081,(50650)-(4190)=46460,125333,0,(44081)+(46460)+(125333)=215874,,(28823)-(788)=28035,(63018)-(30248)=32770,-39174,0,0,null,null,-
745454567,俱乐部友谊赛,2017-07-22 17:00,鹿岛鹿角 vs 塞维利亚,,(0)-(9074)=-9074,(1300)-(7823)=-6523,143227,0,0,,0,(0)-(5393)=-5393,-115235,0,0,null,null,-
1,日职乙,2017-07-22 17:00,山形山神 vs 湘南比马,受平/半,(116800)-(86844)=29956,(44029)-(43294)=735,22030,0,(29956)+(71495)+(22030)=123481,2,(1500)-(6000)=-4500,(96818)-(20000)=76818,-274823,0,0,89',null,3:0
1,日职乙,2017-07-22 17:00,松本山雅 vs 爱媛,半/一,(66070)-(98730)=-32660,0,176725,0,0,2/2.5,(0)-(2062)=-2062,0,0,0,0,89',null,2:1
1,日职乙,2017-07-22 17:00,岐阜 vs 町田泽维亚,平/半,(112430)-(118865)=-6435,(0)-(562)=-562,124776,0,0,2.5,(0)-(7670)=-7670,0,18798,0,0,89',null,0:2
1,日职乙,2017-07-22 17:00,千叶市原 vs 金泽萨维根,一球,(230573)-(47939)=182634,0,1082313,0,0,2.5/3,(69108)-(7598)=61510,0,172521,0,(61510)+(6904)+(172521)=240935,89',null,2:0
1,日职乙,2017-07-22 17:00,京都不死鸟 vs 名古屋八鲸,平/半,(130558)-(106155)=24403,(0)-(37261)=-37261,-197762,0,0,2.5,(0)-(32042)=-32042,0,-17700,0,0,89',null,3:1
1,日职乙,2017-07-22 17:30,东京绿茵 vs 赞岐乌冬,半/一,(20000)-(91224)=-71224,(5500)-(0)=5500,453720,0,0,2.5,(2012)-(0)=2012,0,46000,0,(2012)+(133488)+(46000)=181500,89',null,3:3
1,日职乙,2017-07-22 18:00,群马草津温泉 vs 熊本罗亚素,平手,(12556)-(53087)=-40531,(1502)-(73960)=-72458,-198689,0,(-40531)+(-101200)+(-198689)=-340420,2/2.5,0,(11727)-(40813)=-29086,-173230,0,0,89',null,1:1
1,韩K联,2017-07-22 18:00,蔚山现代  vs 仁川联,半/一,(69922)-(61750)=8172,0,3180,0,(8172)+(3180)=11352,2/2.5,(20123)-(0)=20123,0,0,0,0,89',null,1:1
1,韩K联,2017-07-22 18:00,光州 vs 全南天龙,平/半,(81787)-(23700)=58087,(91141)-(18694)=72447,10361,0,(58087)+(72447)+(10361)=140895,2.5,(64825)-(0)=64825,(40678)-(16382)=24296,1257,0,(64825)+(24296)+(1257)=90378,89',null,2:1
1,日职联,2017-07-22 18:00,大阪樱花 vs 浦和红钻  ,受平/半,(250278)-(254362)=-4084,(66359)-(0)=66359,290420,0,0,2.5/3,(1956)-(6114)=-4158,(1050)-(0)=1050,22016,0,0,89',null,4:2
742799249,德国 - 巴伐利亚地区杯,2017-07-22 20:00,罗森海姆 1860 vs 纽伦堡 II,,(3620)-(4745)=-1125,0,662,0,0,,(0)-(11523)=-11523,0,-14092,0,(-11523)+(-14092)=-25615,null,null,-
744635827,德国 - 德丙,2017-07-22 20:00,云达不莱梅 II vs 翁特哈兴,,0,(41115)-(1500)=39615,-34053,0,0,,(0)-(3576)=-3576,(7755)-(2850)=4905,-8900,0,0,null,null,-
